target_word,similar_word,similar_score
good,good,1.0
good,nice,0.541882744717
good,decent,0.498883301005
good,pleasant,0.482852955576
good,fine,0.470128844091
good,bad,0.469185742967
good,pretty,0.462349284861
good,guys,0.45972279845
good,ass,0.456771564111
good,movie..,0.453707117972
bad,bad,1.0
bad,good,0.469185742967
bad,fault,0.466984428671
bad,loved,0.463859903521
bad,unfortunately,0.441575847649
bad,acting,0.434762667027
bad,sloppy,0.431127340399
bad,irritating,0.428638365978
bad,tho,0.426633642701
bad,problem,0.415421376347
scary,scary,1.0
scary,creepy,0.545767261232
scary,scarier,0.538686763276
scary,eerie,0.518162550669
scary,menacing,0.505146632339
scary,playful,0.484633832833
scary,shocking,0.472279161244
scary,cool,0.467588613305
scary,strange,0.463521541437
scary,menace,0.461895101499
funny,funny,1.0
funny,hilarious,0.524390859433
funny,unintentionally,0.521259975844
funny,laughs,0.501512580891
funny,silly,0.474293996389
funny,funnier,0.471044944367
funny,adorable,0.448147779108
funny,despicable,0.447374213779
funny,poignant,0.446054509331
funny,gross,0.442345666518
